CSCv2_name,CSCv2_RA,CSCv2_DEC,CSCv2_PU,CSCv2_S/N,Fs,e_Fs,Fm,e_Fm,Fh,e_Fh,Fb,e_Fb,P_intra,P_inter,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,Plx,e_Plx,PM,rgeo,b_rgeo,B_rgeo,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_LMXB,P_NS,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_LMXB,e_P_NS,e_P_YSO,Class,Class_prob,e_Class_prob,CT,CSCv2_flags,Catalog_name,True_Class,Class_ref
2CXO J094941.1+295519,147.4213039,29.9220085,0.72,6.41,2e-15,1e-15,1.4e-14,4e-15,1e-13,2e-14,1.2e-13,2e-14,0.947,,16.207,0.003,16.416,0.008,15.799,0.005,15.12,0.04,14.66,0.05,14.05,0.05,12.54,0.02,11.08,0.02,8.33,0.03,-0.02,0.04,0.029,10341.0,7728.0,14069.0,0.96,0.02,0.001,0.01,0.0,0.004,0.0001,0.01,0.03,0.01,0.002,0.01,0.001,0.007,0.0008,0.01,AGN,0.96,0.03,23.981,,PG 0946+301,AGN,2010A&A...518A..10V
2CXO J095014.0+580136,147.5585294,58.0268465,0.78,4.54,1.3e-14,4e-15,8e-15,4e-15,2e-14,1e-14,4e-14,1e-14,0.49,,18.071,0.003,18.62,0.02,17.46,0.01,16.33,0.08,16.0,0.1,15.4,0.1,14.24,0.03,13.9,0.03,11.1,0.09,-0.2,0.1,0.13,6726.0,4982.0,10180.0,0.7,0.2,0.0,0.01,0.002,0.04,0.002,0.02,0.1,0.1,0.002,0.02,0.005,0.02,0.005,0.02,AGN,0.7,0.1,2.315,,PSS J0950+5801,AGN,2010A&A...518A..10V
2CXO J095151.5+594430,147.9647623,59.7416782,0.82,4.0,6e-15,2e-15,4e-15,2e-15,1.4e-14,8e-15,2.4e-14,8e-15,0.301,,19.353,0.005,19.51,0.03,19.09,0.04,,,,,,,16.87,0.07,15.9,0.1,12.4,0.3,-0.5,0.2,0.351,6116.0,3948.0,9315.0,1.0,0.003,0.0,0.0,0.001,0.001,0.0,0.0,0.01,0.01,0.0008,0.0003,0.006,0.004,0.001,0.002,AGN,1.0,0.01,40.794,,SDSS J09518+5944,AGN,2010A&A...518A..10V
2CXO J095209.5+214313,148.0398336,21.7204034,0.72,6.54,8e-16,3e-16,7e-16,3e-16,1.7e-14,3e-15,1.8e-14,3e-15,0.87,0.521,19.837,0.009,18.57,0.03,17.27,0.03,15.86,0.07,15.23,0.09,14.9,0.1,13.67,0.03,12.64,0.03,9.1,0.03,,,,,,,0.95,0.01,0.001,0.006,0.0,0.02,0.001,0.02,0.04,0.01,0.003,0.009,0.002,0.02,0.002,0.02,AGN,0.95,0.04,15.121,,SDSS J09521+2143,AGN,2010A&A...518A..10V
2CXO J095240.2+515249,148.1675259,51.8805516,0.71,43.81,7.2e-14,2e-15,3.5e-14,1e-15,7.8e-14,4e-15,1.85e-13,4e-15,0.746,0.976,18.357,0.007,18.34,0.02,17.88,0.02,16.5,0.1,15.8,0.2,15.5,0.2,13.92,0.03,13.0,0.03,10.16,0.06,-0.2,0.2,0.099,5093.0,3701.0,7428.0,0.99,0.004,0.0,0.0,0.0001,0.002,0.0,0.0,0.01,0.008,0.0007,0.0004,0.0009,0.005,0.0,0.002,AGN,0.99,0.01,53.849,extent,SDSS J09526+5152,AGN,2010A&A...518A..10V
2CXO J095241.4+515848,148.1728872,51.9802051,0.74,22.58,1.13e-13,7e-15,4.5e-14,3e-15,7.6e-14,8e-15,2.3e-13,1e-14,0.81,0.999,17.412,0.004,17.51,0.01,16.948,0.009,16.6,0.2,15.6,0.1,15.0,0.1,13.22,0.02,12.36,0.02,9.69,0.04,-0.08,0.08,0.177,6969.0,5398.0,9365.0,0.99,0.004,0.0,0.0,0.001,0.002,0.0,0.002,0.01,0.007,0.001,0.0006,0.002,0.004,0.0003,0.005,AGN,0.99,0.01,57.258,,SBS 0949+522,AGN,2010A&A...518A..10V
2CXO J095404.9+174218,148.5206941,17.7052643,0.84,10.42,7e-15,1e-15,4.8e-15,8e-16,1.3e-14,2e-15,2.4e-14,3e-15,0.662,0.218,19.012,0.006,19.21,0.05,18.55,0.04,,,,,,,15.68,0.05,14.47,0.06,11.1,0.1,-0.0,0.3,0.089,3987.0,2271.0,5596.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0003,0.0,0.0,0.0005,0.0,0.0003,0.0,AGN,1.0,0.0007,798.108,,SDSS J09540+1742,AGN,2010A&A...518A..10V
2CXO J095438.7+403204,148.6615541,40.5345562,0.74,7.68,2.4e-13,5e-14,1.2e-13,3e-14,5e-13,1e-13,9e-13,1e-13,0.966,,18.665,0.005,18.5,0.02,17.59,0.01,16.6,0.1,16.2,0.2,15.1,0.1,14.25,0.03,13.18,0.03,10.0,0.06,-0.4,0.2,0.237,4691.0,3373.0,6869.0,0.96,0.03,0.0,0.0,0.0,0.004,0.0,0.001,0.03,0.03,0.0003,0.001,0.001,0.007,0.0003,0.005,AGN,0.96,0.03,14.123,,SDSS J09546+4032,AGN,2010A&A...518A..10V
2CXO J095500.1-013006,148.750432,-1.5017931,0.72,7.84,5e-15,1e-15,5e-15,1e-15,2e-14,6e-15,3e-14,6e-15,0.386,,19.7,0.007,20.6,0.2,18.32,0.03,,,,,,,15.22,0.04,14.8,0.07,11.3,0.2,-0.7,0.6,0.318,1887.0,1307.0,2846.0,0.96,0.01,0.001,0.001,0.0,0.02,0.003,0.01,0.04,0.01,0.002,0.003,0.003,0.02,0.007,0.02,AGN,0.96,0.04,17.839,,BRI 0952-0115,AGN,2010A&A...518A..10V
2CXO J095504.5+170556,148.7690136,17.0989411,0.72,6.88,1.3e-14,6e-15,1.3e-14,5e-15,3e-13,5e-14,3.2e-13,5e-14,0.785,,18.078,0.009,18.08,0.05,16.84,0.02,15.44,0.07,14.41,0.05,13.41,0.04,12.42,0.02,11.41,0.02,8.69,0.03,0.2,0.2,0.166,2969.0,1997.0,4959.0,0.992,0.002,0.0,0.003,0.0001,0.0,0.0,0.003,0.01,0.005,0.0004,0.005,0.0007,0.002,0.0004,0.006,AGN,0.992,0.01,61.706,,2MASS J09550+1705,AGN,2010A&A...518A..10V
2CXO J095511.3+594030,148.7971335,59.6751279,0.85,3.03,2e-15,1e-15,5e-15,2e-15,5e-15,4e-15,1.2e-14,5e-15,0.513,,18.943,0.004,19.83,0.04,17.98,0.02,,,,,,,14.85,0.03,14.4,0.04,11.9,0.2,0.0,0.2,0.379,4236.0,2793.0,7272.0,0.87,0.01,0.004,0.004,0.02,0.04,0.006,0.04,0.09,0.02,0.007,0.008,0.03,0.03,0.01,0.04,AGN,0.87,0.09,6.717,,PSS J0955+5940,AGN,2010A&A...518A..10V
2CXO J095533.1+690354,148.8881589,69.06527,0.71,195.02,1.14e-14,8e-16,3.2e-14,1e-15,1.39e-12,2e-14,1.44e-12,2e-14,0.744,1.0,15.131,0.009,13.1,0.01,11.544,0.005,9.64,0.08,9.0,0.1,8.43,0.07,5.74,0.04,6.47,0.02,5.09,0.01,0.15,0.06,0.288,4759.0,3691.0,7894.0,0.51,0.05,0.02,0.19,0.005,0.01,0.001,0.21,0.06,0.03,0.01,0.05,0.008,0.01,0.004,0.05,AGN,0.51,0.06,2.654,extent|conf,NGC 3031,AGN,2010A&A...518A..10V
2CXO J095636.4+690028,149.1518751,69.0078767,0.74,18.66,9.7e-15,7e-16,8.7e-15,6e-16,2.9e-14,2e-15,4.8e-14,2e-15,0.896,0.974,18.165,0.004,18.16,0.02,17.33,0.02,16.7,0.2,15.8,0.2,15.5,0.2,14.51,0.03,13.96,0.04,10.8,0.1,0.4,0.2,0.561,2588.0,1602.0,7741.0,0.96,0.02,0.0,0.001,0.0,0.01,0.0,0.005,0.04,0.03,0.0006,0.003,0.002,0.01,0.001,0.008,AGN,0.96,0.04,12.573,extent|conf,SDSS J09566+6900,AGN,2010A&A...518A..10V
2CXO J095724.3+023518,149.3515015,2.5884315,0.87,9.5,4.6e-14,9e-15,6e-15,1e-15,1.6e-14,3e-15,6.9e-14,1e-14,0.64,,,,,,,,,,,,,,15.95,0.06,15.19,0.09,12.11,,,,,,,,0.86,0.01,0.0,0.0,0.06,0.01,0.04,0.005,0.05,0.02,0.002,0.0005,0.03,0.01,0.02,0.007,AGN,0.86,0.05,10.209,,SDSS J09574+0235,AGN,2010A&A...518A..10V
2CXO J095743.3+024823,149.4305726,2.8065449,0.94,5.76,4e-15,1e-15,2.9e-15,8e-16,6e-15,2e-15,1.3e-14,3e-15,0.988,,20.27,0.01,20.6,0.1,20.1,0.1,,,,,,,16.43,0.08,15.0,0.08,11.6,0.3,,,,,,,0.99,0.002,0.0001,0.0,0.01,0.0,0.0001,0.001,0.02,0.006,0.0007,0.0003,0.02,0.002,0.0009,0.005,AGN,0.99,0.02,23.779,,SDSS J09577+0248,AGN,2010A&A...518A..10V
2CXO J095744.4+330820,149.4353124,33.139144,0.78,4.0,6e-15,2e-15,7e-15,2e-15,8e-18,6e-18,1.3e-14,3e-15,,,18.754,0.003,19.68,0.05,17.83,0.02,17.2,0.2,16.2,0.2,15.6,0.2,15.21,0.04,14.68,0.06,11.3,0.2,0.0,0.2,0.051,2776.0,1991.0,3862.0,0.8,0.06,0.0,0.005,0.01,0.02,0.003,0.08,0.1,0.04,0.002,0.008,0.02,0.02,0.006,0.09,AGN,0.8,0.1,3.595,,PSS J0957+3308,AGN,2010A&A...518A..10V
2CXO J095753.4+024735,149.4728976,2.793296,0.77,4.63,2.2e-15,1e-15,1.6e-15,5e-16,5e-15,2e-15,9e-15,2e-15,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.0,0.0,0.0,0.6,0.1,0.001,0.1,0.1,0.02,0.0,0.03,0.2,0.1,0.005,LMXB,0.6,0.2,1.04,,COSM J09578+0247,AGN,2010A&A...518A..10V
2CXO J095754.7+023832,149.4779369,2.6423726,0.74,7.41,5e-15,1e-15,2.9e-15,4e-16,6e-15,1e-15,1.3e-14,1e-15,0.953,1.0,19.5,0.01,19.65,0.06,19.11,0.08,,,,,,,15.77,0.05,14.29,0.05,11.4,0.2,0.1,0.4,0.666,2253.0,1480.0,4289.0,0.99,0.0,0.0,0.0,0.01,0.001,0.0,0.0,0.01,0.003,0.0004,0.0004,0.01,0.003,0.0005,0.002,AGN,0.99,0.01,40.614,,SDSS J09579+0238,AGN,2010A&A...518A..10V
2CXO J095755.0+024806,149.4795186,2.8017245,0.73,10.9,1.3e-14,2e-15,8e-15,1e-15,1.6e-14,3e-15,3.7e-14,4e-15,0.957,,19.265,0.008,19.49,0.05,18.92,0.04,,,,,,,15.61,0.05,14.29,0.06,11.2,0.2,-0.0,0.4,0.191,2153.0,1499.0,2983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.001,0.0004,0.0003,0.0003,AGN,1.0,0.002,298.158,,SDSS J09579+0248,AGN,2010A&A...518A..10V
2CXO J095755.4+022400,149.4812402,2.4002349,0.85,4.78,2e-16,1e-16,1.5e-15,4e-16,8e-15,1e-15,9e-15,2e-15,0.363,0.216,,,,,,,,,,,,,16.7,0.1,16.3,0.3,11.94,,,,,,,,0.94,0.001,0.01,0.0,0.0,0.01,0.03,0.01,0.07,0.004,0.02,0.001,0.004,0.02,0.04,0.02,AGN,0.94,0.07,7.859,,COSM J09579+0224,AGN,2010A&A...518A..10V
2CXO J095756.7+024840,149.4866225,2.8113063,0.8,7.56,5e-15,1e-15,2.9e-15,7e-16,1.1e-14,2e-15,2e-14,3e-15,0.14,,20.83,0.03,21.0,0.3,20.9,0.2,,,,,,,17.3,0.2,15.8,0.1,12.58,,,,,,,,0.98,0.01,0.0,0.0,0.0,0.003,0.0,0.002,0.02,0.02,0.002,0.0004,0.002,0.007,0.001,0.005,AGN,0.98,0.02,21.991,,COSM J09579+0248,AGN,2010A&A...518A..10V
2CXO J095757.5+023919,149.4897388,2.655539,0.9,4.49,4e-16,2e-16,4e-16,1e-16,1.6e-15,6e-16,2.5e-15,7e-16,0.892,0.978,,,,,,,,,,,,,16.27,0.03,16.37,0.1,,,,,,,,,0.8,0.002,0.0,0.0,0.02,0.03,0.09,0.02,0.1,0.005,0.003,0.001,0.06,0.03,0.07,0.03,AGN,0.8,0.1,4.03,,COSM J09579+0239,AGN,2010A&A...518A..10V
2CXO J095759.4+020436,149.4978501,2.0767536,0.8,7.7,5.2e-15,1e-15,2.8e-15,5e-16,8e-15,2e-15,1.6e-14,2e-15,0.845,0.989,19.067,0.005,19.28,0.04,18.75,0.04,,,,,,,16.12,0.06,14.6,0.05,11.1,0.1,-0.3,0.3,0.462,7454.0,3022.0,10541.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.001,0.0,0.0,0.003,0.0006,0.0004,0.001,AGN,0.999,0.005,132.13,,SDSS J09579+0204,AGN,2010A&A...518A..10V
2CXO J095800.4+022452,149.5017626,2.4144772,0.73,10.55,4.8e-15,9e-16,6.9e-15,8e-16,2.4e-14,3e-15,3.6e-14,3e-15,0.702,0.902,,,,,,,,,,,,,16.8,0.1,15.9,0.2,12.06,,,,,,,,0.996,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.01,0.002,0.0004,0.0004,0.0006,0.003,0.007,0.002,AGN,0.996,0.01,58.186,,COSM J09580+0224,AGN,2010A&A...518A..10V
2CXO J095801.4+014832,149.5059085,1.8090195,0.98,5.62,1.9e-15,5e-16,1.9e-15,4e-16,6e-15,1e-15,9e-15,2e-15,0.39,0.358,,,,,,,,,,,,,18.3,0.2,,,,,,,,,,,0.8,0.01,0.02,0.0,0.001,0.08,0.09,0.001,0.1,0.02,0.02,0.0,0.006,0.08,0.08,0.005,AGN,0.8,0.1,3.607,conf,COSM J09580+0148,AGN,2010A&A...518A..10V
2CXO J095803.3+362047,149.5139417,36.3466175,0.98,2.72,4e-15,2e-15,6e-15,3e-15,1e-14,7e-15,2e-14,8e-15,0.718,,20.123,0.007,20.5,0.1,19.6,0.07,,,,,,,16.2,0.06,15.01,0.08,12.5,0.5,-1.5,0.5,0.244,3267.0,2101.0,5199.0,0.98,0.002,0.0,0.0,0.01,0.003,0.0,0.002,0.03,0.005,0.002,0.001,0.02,0.008,0.003,0.008,AGN,0.98,0.03,17.525,,SDSS J09580+3620,AGN,2010A&A...518A..10V
2CXO J095806.2+020113,149.5260382,2.0203981,0.9,7.6,1.2e-15,4e-16,1e-15,3e-16,3.2e-15,9e-16,5e-15,1e-15,0.69,1.0,,,,,,,,,,,,,17.0,0.1,16.3,0.2,11.87,,,,,,,,0.98,0.001,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.003,0.0003,0.0004,0.02,0.01,0.02,0.02,AGN,0.98,0.05,14.516,,COSM J09581+0201,AGN,2010A&A...518A..10V
2CXO J095807.2+021319,149.5301723,2.2219502,0.93,4.43,3e-16,2e-16,1.7e-15,3e-16,5e-15,1e-15,7e-15,1e-15,0.497,0.336,,,,,,,,,,,,,17.8,0.1,16.49,0.1,,,,,,,,,0.98,0.0,0.0,0.0,0.002,0.01,0.002,0.01,0.02,0.003,0.002,0.0003,0.009,0.01,0.006,0.01,AGN,0.98,0.02,26.584,,COSM J09581+0213,AGN,2010A&A...518A..10V
2CXO J095808.2+015423,149.5342173,1.9066,1.0,6.38,1.3e-15,4e-16,1.8e-15,3e-16,7e-15,1e-15,1e-14,1e-15,0.69,0.435,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.02,0.01,0.0,0.0,0.3,0.09,0.003,0.1,0.03,0.02,0.0,0.003,0.1,0.07,0.008,AGN,0.6,0.1,0.91,,COSM J09581+0154,AGN,2010A&A...518A..10V
2CXO J095808.8+021648,149.5370551,2.280003,0.9,4.29,9e-16,3e-16,8e-16,2e-16,3.1e-15,9e-16,4.8e-15,1e-15,0.662,0.543,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.01,0.002,0.0,0.0,0.2,0.07,0.001,0.1,0.01,0.01,0.0,0.02,0.1,0.07,0.006,AGN,0.7,0.1,1.991,,COSM J09581+0216,AGN,2010A&A...518A..10V
2CXO J095810.8+014004,149.545311,1.6679433,0.75,7.04,1e-15,5e-16,3e-15,5e-16,8e-15,2e-15,1.2e-14,2e-15,0.493,0.811,19.971,0.008,20.11,0.07,19.58,0.09,,,,,,,17.1,0.1,16.1,0.2,12.4,0.5,-0.2,0.7,1.047,1590.0,1044.0,2486.0,0.99,0.0,0.0,0.0,0.001,0.003,0.0,0.002,0.02,0.01,0.001,0.002,0.003,0.009,0.001,0.007,AGN,0.99,0.02,29.017,,2QZ J095810+0140,AGN,2010A&A...518A..10V
2CXO J095817.2+023316,149.5718488,2.5545538,0.99,2.59,8e-18,6e-18,3e-16,1e-16,8e-16,4e-16,1.1e-15,4e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.2,0.0,0.001,0.06,0.4,0.07,0.2,0.004,0.1,0.0003,0.003,0.09,0.2,0.07,NS,0.4,0.2,0.159,,COSM J09582+0233,AGN,2010A&A...518A..10V
2CXO J095819.8+022903,149.5828845,2.4843222,0.71,22.18,4e-14,2e-15,2.3e-14,1e-15,7.8e-14,3e-15,1.4e-13,4e-15,0.82,1.0,19.251,0.009,19.05,0.03,18.27,0.03,17.1,0.2,16.3,0.2,15.3,0.2,13.79,0.03,12.94,0.03,10.46,0.09,-0.3,0.3,0.382,3193.0,2159.0,4299.0,0.99,0.002,0.0,0.0,0.0001,0.004,0.0,0.002,0.02,0.006,0.0003,0.001,0.001,0.009,0.0,0.007,AGN,0.99,0.02,40.01,extent,SDSS J09583+0229,AGN,2010A&A...518A..10V
2CXO J095820.5+073435,149.5854729,7.5765639,0.98,14.57,4.8e-14,6e-15,4e-14,5e-15,9e-14,1e-14,1.8e-13,2e-14,0.428,,17.973,0.003,18.17,0.01,17.53,0.01,,,,,,,15.21,0.04,14.12,0.04,10.6,0.1,0.2,0.2,0.389,3527.0,2444.0,5386.0,0.999,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0006,0.001,0.0003,0.0,AGN,0.999,0.003,159.654,,SDSS J09583+0734,AGN,2010A&A...518A..10V
2CXO J095822.1+014524,149.5924341,1.7566782,0.74,13.45,1e-14,1e-15,7.4e-15,7e-16,1.9e-14,2e-15,3.7e-14,3e-15,0.795,1.0,17.532,0.004,17.72,0.01,17.17,0.02,16.4,0.1,16.1,0.2,15.7,0.2,14.57,0.03,13.18,0.03,9.53,0.04,-0.2,0.2,0.172,5680.0,4027.0,7562.0,0.97,0.01,0.0001,0.0001,0.0,0.01,0.0001,0.002,0.02,0.01,0.0009,0.0009,0.002,0.01,0.0007,0.004,AGN,0.97,0.02,24.947,extent,SDSS J09583+0145,AGN,2010A&A...518A..10V
2CXO J095824.4+022333,149.6020777,2.3926001,0.73,8.83,4.3e-15,7e-16,4.9e-15,5e-16,1.2e-14,1e-15,2.1e-14,2e-15,0.713,0.898,20.132,0.01,20.8,0.1,19.5,0.1,,,,,,,16.02,0.06,14.68,0.06,11.4,0.2,0.9,0.8,0.783,1086.0,635.0,2120.0,0.999,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.003,0.0007,0.0003,0.0,0.0009,0.002,0.0,0.001,AGN,0.999,0.003,212.084,extent,COSM J09584+0223,AGN,2010A&A...518A..10V
2CXO J095826.6+022817,149.6111911,2.4716605,0.73,10.53,1.2e-14,1e-15,6.4e-15,5e-16,1.7e-14,2e-15,3.5e-14,2e-15,0.673,0.357,,,,,,,,,,,,,16.36,0.04,15.8,0.05,,,,,,,,,0.99,0.001,0.0001,0.0,0.001,0.002,0.004,0.001,0.01,0.003,0.0008,0.0,0.003,0.006,0.007,0.003,AGN,0.99,0.01,50.833,extent,COSM J09584+0228,AGN,2010A&A...518A..10V
2CXO J095831.6+022217,149.6316786,2.3714236,0.73,5.83,1.3e-15,4e-16,2.2e-15,3e-16,6e-15,1e-15,1e-14,1e-15,0.987,0.972,,,,,,,,,,,,,,,16.9,0.2,,,,,,,,,0.57,0.006,0.001,0.0,0.003,0.3,0.11,0.006,0.09,0.008,0.003,0.0,0.009,0.1,0.06,0.009,AGN,0.57,0.09,1.43,,COSM J09585+0222,AGN,2010A&A...518A..10V
2CXO J095834.2+022456,149.6425115,2.4158281,0.77,4.78,1.2e-15,9e-16,5e-16,2e-16,8e-15,1e-15,1e-14,2e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.001,0.02,0.0,0.0,0.6,0.3,0.01,0.06,0.006,0.04,0.0008,0.01,0.2,0.2,0.04,LMXB,0.6,0.2,0.615,,COSM J09585+0224,AGN,2010A&A...518A..10V
2CXO J095836.5+074556,149.6524319,7.7657559,0.95,11.31,2.8e-14,4e-15,1.6e-14,3e-15,3.1e-14,8e-15,7.5e-14,9e-15,0.484,,19.485,0.005,19.67,0.04,19.05,0.03,,,,,,,16.11,0.06,14.79,0.07,12.2,0.5,0.3,0.5,0.72,1711.0,1096.0,2543.0,0.99,0.004,0.0001,0.0,0.002,0.0,0.0,0.0,0.01,0.009,0.0008,0.0,0.006,0.002,0.0004,0.002,AGN,0.99,0.01,46.652,,SDSS J09586+0745,AGN,2010A&A...518A..10V
2CXO J095840.0+021711,149.6668476,2.2864475,0.73,8.33,3.8e-15,6e-16,3.7e-15,4e-16,1.3e-14,2e-15,2e-14,2e-15,0.889,0.959,,,,,,,,,,,,,17.24,0.07,17.0,0.2,,,,,,,,,0.97,0.001,0.0,0.0,0.0,0.01,0.02,0.0,0.06,0.003,0.0006,0.0004,0.001,0.03,0.04,0.001,AGN,0.97,0.06,9.685,conf,COSM J09586+0217,AGN,2010A&A...518A..10V
2CXO J095840.3+020807,149.6680225,2.1353563,0.74,8.83,5.3e-15,7e-16,3.7e-15,4e-16,8e-15,1e-15,1.7e-14,1e-15,0.656,0.958,,,,,,,,,,,,,15.61,0.04,15.11,0.09,11.6,0.3,,,,,,,0.98,0.001,0.0001,0.0,0.01,0.001,0.002,0.002,0.03,0.003,0.0007,0.0,0.02,0.002,0.006,0.005,AGN,0.98,0.03,19.611,,COSM J09586+0208,AGN,2010A&A...518A..10V
2CXO J095844.9+014308,149.6871702,1.7190531,0.73,8.93,3.3e-15,5e-16,4.5e-15,4e-16,1.3e-14,2e-15,2.1e-14,2e-15,0.852,0.292,20.229,0.009,20.3,0.1,19.77,0.09,,,,,,,17.1,0.1,15.7,0.1,12.23,,0.3,0.7,0.63,1282.0,877.0,1931.0,0.99,0.004,0.0001,0.0,0.0,0.01,0.0,0.001,0.01,0.008,0.0008,0.0,0.0,0.01,0.0003,0.003,AGN,0.99,0.01,40.647,extent,SDSS J09587+0143,AGN,2010A&A...518A..10V
2CXO J095845.0+014845,149.6875219,1.8127254,0.84,7.09,9e-16,3e-16,1.5e-15,3e-16,6e-15,1e-15,9e-15,1e-15,0.861,0.844,,,,,,,,,,,,,,,16.8,0.2,,,,,,,,,0.6,0.005,0.001,0.0,0.0,0.14,0.2,0.01,0.1,0.008,0.004,0.0,0.003,0.08,0.1,0.01,AGN,0.6,0.1,2.132,,COSM J09587+0148,AGN,2010A&A...518A..10V
2CXO J095845.2+022442,149.6885984,2.4117375,0.73,7.64,6e-16,3e-16,1.9e-15,3e-16,6e-15,1e-15,9e-15,1e-15,0.759,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.01,0.0,0.0,0.4,0.23,0.01,0.1,0.002,0.02,0.0,0.0004,0.1,0.09,0.01,LMXB,0.4,0.1,0.283,,COSM J09587+0224,AGN,2010A&A...518A..10V
2CXO J095845.8+022007,149.6910655,2.3355103,0.91,4.38,2e-16,1e-16,9e-16,2e-16,6e-15,1e-15,7e-15,1e-15,0.705,0.679,,,,,,,,,,,,,16.9,0.1,15.7,0.2,12.44,,,,,,,,0.98,0.001,0.0001,0.0,0.001,0.004,0.004,0.01,0.03,0.002,0.0008,0.001,0.008,0.007,0.009,0.02,AGN,0.98,0.03,18.392,,COSM J09587+0220,AGN,2010A&A...518A..10V
2CXO J095846.7+023911,149.6946812,2.6531497,0.74,6.04,1.6e-15,4e-16,2.1e-15,3e-16,6e-15,1e-15,1e-14,1e-15,0.832,0.235,,,,,,,,,,,,,16.65,0.06,16.18,0.1,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.01,0.002,0.0006,0.0004,0.004,0.005,0.003,0.002,AGN,1.0,0.01,62.927,,COSM J09587+0239,AGN,2010A&A...518A..10V
2CXO J095846.9+023255,149.6957892,2.5488759,0.76,3.76,2e-16,1e-16,5e-16,2e-16,3.5e-15,9e-16,4.1e-15,1e-15,0.405,0.131,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.02,0.0,0.001,0.2,0.3,0.03,0.1,0.01,0.04,0.0,0.008,0.1,0.2,0.04,AGN,0.5,0.1,0.503,,COSM J09587+0232,AGN,2010A&A...518A..10V
2CXO J095847.0+021552,149.6958496,2.2645,0.77,10.18,6e-16,2e-16,2.7e-15,3e-16,1.1e-14,1e-15,1.5e-14,1e-15,0.569,1.0,,,,,,,,,,,,,15.12,0.04,14.38,0.05,11.0,0.1,,,,,,,0.98,0.0,0.0001,0.0001,0.005,0.003,0.004,0.01,0.02,0.002,0.0008,0.001,0.008,0.006,0.008,0.02,AGN,0.98,0.02,24.046,extent|conf,COSM J09587+0215,AGN,2010A&A...518A..10V
2CXO J095847.1+023619,149.6965591,2.6054063,0.83,5.62,5e-16,2e-16,1.4e-15,3e-16,6e-15,1e-15,8e-15,1e-15,0.861,0.633,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.001,0.01,0.0,0.0,0.15,0.2,0.004,0.1,0.004,0.01,0.0,0.0002,0.08,0.1,0.007,AGN,0.6,0.1,1.935,conf,COSM J09587+0236,AGN,2010A&A...518A..10V
2CXO J095847.7+022627,149.6987611,2.4410831,0.79,8.51,2.1e-15,4e-16,2.1e-15,3e-16,5.6e-15,1e-15,1e-14,1e-15,0.877,1.0,,,,,,,,,,,,,16.17,0.07,15.21,0.1,12.0,0.3,,,,,,,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.002,0.02,0.0006,0.0003,0.0,0.02,0.001,0.001,0.005,AGN,0.99,0.02,23.628,extent,COSM J09587+0226,AGN,2010A&A...518A..10V
2CXO J095847.8+690532,149.6995088,69.0924311,0.79,13.07,1.9e-14,2e-15,1.6e-14,2e-15,6.1e-14,7e-15,9.7e-14,8e-15,0.981,0.97,17.06,0.004,17.34,0.01,16.58,0.01,16.16,0.09,15.4,0.1,15.1,0.1,13.64,0.03,12.24,0.02,9.29,0.03,0.06,0.06,0.097,6890.0,5401.0,8892.0,0.99,0.01,0.0001,0.0001,0.0,0.002,0.0,0.002,0.01,0.01,0.0007,0.0009,0.001,0.005,0.0006,0.005,AGN,0.99,0.01,36.683,,SDSS J09587+6905,AGN,2010A&A...518A..10V
2CXO J095849.0+013219,149.7042589,1.5387347,0.72,38.92,1.83e-13,7e-15,1.11e-13,3e-15,2.59e-13,9e-15,5.5e-13,1e-14,0.469,0.999,20.96,0.03,20.2,0.2,19.1,0.2,,,,,,,15.47,0.04,15.21,0.1,11.9,,,,,,,,0.6,0.21,0.004,0.0,0.0,0.15,0.02,0.01,0.08,0.06,0.007,0.001,0.002,0.05,0.01,0.01,AGN,0.6,0.08,2.875,,SDSS J09588+0132,AGN,2010A&A...518A..10V
